1,Chennai Beach,13.09608,80.2916
2,Chennai Fort,13.08349,80.28294
3,Park Town,13.07965,80.27693
4,Chintadripet,13.07404,80.27384
5,Chepauk,13.06192,80.28053
6,Thiruvallikeni,13.05573,80.28079
7,Light House,13.04553,80.27676
8,Thirumayilai,13.03491,80.26707
9,Mandaveli,13.02818,80.26075
10,Greenways Road,13.02049,80.25195
11,Kotturpuram,13.01397,80.24848
12,Kasthurba Nagar,13.00539,80.24775
13,Indira Nagar,12.99649,80.24976
14,Thiruvanmiyur,12.98967,80.25161
15,Tharamani,12.97881,80.24124
16,Perungudi,12.97524,80.23131
17,Velacherry,12.97076,80.21901
